White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
Maartenols,princeofspace,1997,1834,1-0,B49,"Sicilian Defense: Paulsen Variation, Bastrikov Variation, English Attack",60+0,Time forfeit,e4 c5 d4 cxd4 Nf3 e6 Nxd4 Nc6 Nc3 a6 f3 Qc7 Be3 b5 Qd2 Bb7 a3 Nxd4 Bxd4 Bf4 Be3 Bxe3 Qxe3 Rc8 g5 h5 f4 Ng4 axb4 Bxh1 Bxa6 Bxc8 Bxd7+ Ke7 Bxc6 Bxg4 Rd7+ Ke8 Ne4 Kf8 Rf7+ Kg8 hxg6 hxg6 Rh6,Rated Bullet game,1997,1834,163,1,6.0,2
Andabarian,caballomanco,1553,1747,1-0,A45,Indian Game,300+0,Time forfeit,d4 Nf6 e3 g6 Bd3 Bg7 f4 d6 Nf3 Nfd7 O-O e5 dxe5 dxe5 e4 exf4 Bxf4 O-O Nc3 Nc6 Qe2 Nde5 Bxe5 Nxe5 Nxe5 Bxe5 Qf3 c6 Rab1 Be6 a3 Rb8 Ne2 a6 Nf4 Qd7 Kh1 b5 c3 c5 Rbd1 Qc8 Qe3 b4 axb4 cxb4 c4 Bxb2 Rb1 Bg7 Nxe6 Qxe6 Qc5 Rfc8 Qa5 Bf8 Rfc1 Rc5 Qa4 a5 Ra1 Rd8 Rd1 Bg7 Ra2 Qg4 Qb3 Bc3 Qc2 Qg5 Ra4 Kf8 Qf2 Kg7 Qxc5 Qxc5 h3 Rd6 Ra2 Rf6 Bf1 Rf4 Bd3 Qh5 Kh2,Rated Blitz tournament https://lichess.org/tournament/z80u9cGg,1553,1747,-194,1,4.0,2
vadimdim,volpi2007,1442,1368,1-0,C50,Italian Game,120+0,Time forfeit,e4 e5 Nf3 Nc6 Bc4 d6 d4 h6 dxe5 Bg4 exd6 Bxd6 O-O Ne5 Be2 Bxf3 Bxf3 Qf6 Nc3 O-O-O Nd5 Nxf3+ Qxf3 Qxf3 gxf3 c6 Nc3 g5 Be3 Kb8 Ne2 Ne7 gxf4 Bxf4 Rhg8+ Kh1 Bxf4 Nxf4 Rd2 Rac1 Rg4 Nd3 h5 Rxg1+ Kxg1 Kc7 b3 Ne7 a4 Nd5 c4 Ne3 h3 Nxg2 Kd7 Rd1+ Kf2 Rd1+ Ke2,Rated Bullet game,1442,1368,74,1,4.0,2
darko399,ZUMOSOL,1695,2111,0-1,B21,"Sicilian Defense: McDonnell Attack, Tal Gambit",300+0,Normal,e4 c5 f4 d5 exd5 Nf6 c4 e6 dxe6 Bxe6 Nf3 Nc6 Nc3 Be7 Be2 O-O O-O Qd7 Ne5 Nxe5 fxe5 Qd4+ Kh1 Qxe5 d3 Rad8 Bf4 Qd4 Qc2 a6 Rad1 Bxg4 Nxg4 Nf6 Ne2 Qd7 Nd5 Nf4 Qd4 Nf5 Ng3+ Kh2 Nxf1+ Rxf1 Qxc4 Rc1 Qd4 b5 Qxe4,Rated Blitz tournament https://lichess.org/tournament/z80u9cGg,1695,2111,-416,1,6.0,0
ratso,inadaptado,1855,1893,0-1,D15,Slav Defense: Two Knights Attack,60+0,Time forfeit,d4 c6 c4 d5 Nc3 dxc4 Nf3 Nf6 Bg5 b5 a4 b4 Nb1 Ne4 h4 h6 Bf4 Ba6 e3 e6 Qc1 c3 bxc3 bxc3 Nxc3 Qa5 Bxa6 Nxa6 O-O Qxc3 Qd1 Rc8 Ne5 Qa5 Qc2 Nb4 Qxe4 Bd6 Qf3 O-O Ng4 h5 Ne5 Bxe5 Bxe5 Nd3 Qxh5 f6 Bd6 Qxh5 Bxf8 Rxf8 g4 Qxg4+ Kh1 Nb4 Rg1 Qf3+ Rg2 Nd5 Kh2 Nc3 Rag1 Ne4 Rxg7+ Kh8 Rg8+ Rxg8 Rxg8+ Kxg8 h5 Nxf2,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1855,1893,-38,1,6.0,0
ericostaber,Duckie,1369,1375,1-0,B01,Scandinavian Defense: Gubinsky-Melts Defense,600+0,Normal,e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Qc6 Bb5,Rated Classical game,1369,1375,-6,1,6.0,2
IMike25,Florinmagnus,2058,2005,0-1,D45,Semi-Slav Defense: Main Line,60+0,Time forfeit,c4 c6 Nc3 Nf6 e3 e6 Nf3 d5 d4 dxc4 Bxc4 Be7 Bd3 O-O O-O b6 Bd2 Bb7 Rc1 Nbd7 Re1 c5 Qe2 cxd4 exd4 Rc8 Ne5 Nb8 Rcd1 Qxd4 Bg5 Qc5 Bxf6 Bxf6 Ng4 Be7 Ne4 Bxe4 Qxe4 Qh5 h3 Nd7 Bb1 Nc5 Qf3 Kh8 b4 Na4 Rd7 Bf6 Rxa7 Nc3 Nxf6 Qxf3 gxf3 gxf6 Bd3 Nd5 a3 Nf4 Bf1 Rg8+ Kh2 Rg7 Re4 e5 Rb7 Rc6 Rb8+ Rg8 Rb7 Kg7 Bc4 Ra8,Rated Bullet game,2058,2005,53,1,10.0,0
Yaqirah,pyramidsofthesun,1850,1710,1-0,D10,Slav Defense #2,180+0,Normal,d4 d5 c4 c6 Nc3 Bf5 cxd5 cxd5 Nf3 e6 Qb3 Qc7 Bf4 Qb6 Qxb6 axb6 Nb5 Na6 Nd6+ Bxd6 Bxd6 Rc8 e3 Rc2 Bb5+ Kd8 Ba3 Nf6 O-O Ne4 Rac1 Rxc1 Rxc1 Nc7 Bf1 Kd7 Ne5+ Kc8 Nxf7 Re8 Nd6+,Rated Blitz game,1850,1710,140,1,6.0,2
hdorio,qohelet,1292,1504,1-0,C44,Scotch Game: Lolli Variation,60+0,Time forfeit,e4 e5 Nf3 Nc6 d4 Nxd4 Nxf3+ gxf3 Nf6 O-O Bd6 exf4 O-O Bxf4 Qxf4 Qe7 Re1 Qe5 Nc3 Rxf7 Kxf7 Nd5 Nxh2+ Ke2 Qg4+ Kd2 Qg2 Nxc7 Qxf2+ Qd4+ Ke1 Nf3+ Kf1 Rf2 Qxa1+ Kg2 Kg6 Rxf3 Qxa2 Kh3 Qxc2 Rg3+ Kf7 Rg4 Kg8 Qf4+ Kh5 Kg4 h5+,Rated Bullet game,1292,1504,-212,1,6.0,2
paerstymer,stopeggs,1547,1641,0-1,D00,Queen's Pawn Game #2,0+1,Time forfeit,d4 d5 e3 e5 Nf3 e4 Nfd2 Nc6 f3 Bf5 fxe4 Bxe4 Nxe4 Qh4+ g3 Qxe4 Rg1 Nxd4 Bg2 Nf3+ Bxf3 Qxe3+ Bxe3 O-O-O Qe2 d4 Bxd4 Nf6 Kf2 Bd6 c3 Rhe8 Qd3 c6,Rated Bullet game,1547,1641,-94,1,4.0,0
